City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
506,polson,92,US,1529782483,56,47.69,-114.16,60.78,3.65
507,gallup,1,US,1529779980,6,35.53,-108.74,89.6,8.05
508,haines junction,80,CA,1529781562,56,60.75,-137.51,47.78,2.71
509,rajura,48,IN,1529782484,83,19.78,79.37,78.6,10.92
510,zorritos,40,PE,1529780400,73,-3.68,-80.68,77.0,10.29
511,turayf,0,SA,1529780400,34,31.68,38.65,80.6,16.11
512,esmeralda,68,CL,1529782485,82,-34.33,-70.9,47.46,0.85
513,teguise,20,ES,1529780400,60,29.06,-13.56,73.4,11.41
514,muhos,76,FI,1529779800,76,64.81,26.0,53.6,8.05
515,sabang,56,PH,1529782486,100,13.72,123.58,77.97,3.87
516,lisakovsk,88,KZ,1529782486,47,52.55,62.49,69.51,9.8
517,boueni,0,YT,1529780400,69,-12.9,45.08,78.8,11.41
518,nainpur,64,IN,1529782487,75,22.43,80.11,80.04,7.23
519,simplicio mendes,0,BR,1529782487,32,-7.85,-41.91,85.35,9.8
520,laguna de perlas,40,NI,1529780400,70,12.34,-83.67,86.0,4.7
521,springbok,0,ZA,1529781519,81,-29.67,17.88,39.05,3.15
522,ustyuzhna,56,RU,1529782488,80,58.84,36.43,60.15,8.01
523,isangel,0,VU,1529782488,100,-19.55,169.27,72.3,12.26
524,ambon,0,FR,1529780400,31,47.55,-2.56,73.4,9.17
525,bom conselho,64,BR,1529782489,75,-9.17,-36.69,68.16,11.03
526,nieuw amsterdam,75,SR,1529780400,83,5.88,-55.08,80.6,6.93
527,aleksandrov gay,0,RU,1529782489,66,50.14,48.57,64.02,2.75
528,newcastleton,12,GB,1529779800,71,55.18,-2.81,57.2,13.87
529,sinnamary,80,GF,1529781494,96,5.38,-52.96,81.53,6.96
530,khorramabad,0,IR,1529782490,61,33.48,48.35,53.13,2.19
531,sambava,80,MG,1529782490,100,-14.27,50.17,74.82,20.65
532,tilichiki,80,RU,1529781565,90,60.47,166.1,47.51,4.16
533,lamu,68,ID,1529782491,100,0.57,122.3,72.48,1.19
534,sedona,1,US,1529780220,16,34.87,-111.79,96.8,11.41
535,dutlwe,0,BW,1529782491,60,-23.98,23.93,46.74,5.99
536,aykhal,80,RU,1529782492,72,65.95,111.51,62.49,3.53
537,jiuquan,24,CN,1529782492,84,39.73,98.49,49.35,3.98
538,cubuk,40,TR,1529779800,59,40.24,33.03,69.8,11.41
539,yarada,76,IN,1529782492,100,17.65,83.27,82.47,20.09
540,kumeny,20,RU,1529782493,81,58.11,49.92,66.99,2.86
541,leh,88,IN,1529782244,100,34.16,77.58,30.36,1.63
542,malabo,76,CD,1529782493,97,1.56,30.43,58.08,1.86
543,poum,32,MK,1529782493,96,41.28,20.71,48.9,0.51
544,presidente olegario,80,BR,1529782494,49,-18.42,-46.42,72.21,4.99
545,amapa,75,HN,1529780400,70,15.09,-87.97,89.6,6.93
546,jinka,36,ET,1529782500,88,5.79,36.57,60.15,1.74
547,saquena,32,PE,1529782500,77,-4.67,-73.52,83.1,3.87
548,kulhudhuffushi,32,MV,1529782501,100,6.62,73.07,81.48,15.95
549,dicabisagan,64,PH,1529782501,100,17.08,122.42,76.26,3.53
550,tevaitoa,0,PF,1529782502,99,-16.78,-151.5,80.49,14.05
551,barsovo,75,RU,1529780400,100,61.17,73.17,57.2,6.71
552,debre tabor,32,ET,1529782502,85,11.86,38.01,56.28,2.75
553,saquarema,0,BR,1529780400,61,-22.93,-42.51,78.8,13.87
554,toguchin,92,RU,1529782503,93,55.24,84.4,63.12,4.65
